"fc";"pval.fc.fdr"
"ENSG00000125618.17";1.55;0.00103194466601346
"ENSG00000125675.18";-1.54;4.02105635667514e-06
"ENSG00000125851.10";-3.4;0.000261330946259623
"ENSG00000125868.16";-1.64;0.00245696678974968
"ENSG00000126500.3";-2.85;0.00870951570446464
"ENSG00000126709.15";1.91;0.00236425796628996
"ENSG00000126778.12";2.27;0.00466898285220817
"ENSG00000126787.13";1.59;1.58883516205511e-05
"ENSG00000126803.9";-2.17;0.00174744851888811
"ENSG00000126947.13";-1.86;0.000464785648802013
"ENSG00000126950.8";-3.43;0.00247671913571385
"ENSG00000127423.11";1.77;5.37408861144518e-06
"ENSG00000127564.17";2.13;4.64098381377734e-06
"ENSG00000128342.5";2.62;0.00430825013531778
"ENSG00000128482.16";-1.8;2.5807916645982e-05
"ENSG00000128573.26";-2.65;0.0025031323675563
"ENSG00000128578.10";2.5;0.000438063897435782
"ENSG00000128594.8";-2.14;0.0030909670968613
"ENSG00000128610.12";5.81;0.0002667931224805
"ENSG00000128683.14";3.85;0.00416650590133818
"ENSG00000128849.11";-1.55;0.00852898617014452
"ENSG00000129116.19";-1.72;0.00666364157874073
"ENSG00000129195.16";1.91;0.000256579680236034
"ENSG00000129244.9";-2.36;0.00297142871977489
"ENSG00000129538.14";-1.68;0.00460672000570968
"ENSG00000129654.8";3.29;0.00426469869204933
"ENSG00000129810.15";1.76;4.83996899445125e-05
"ENSG00000130005.13";-1.73;3.4373146620174e-06
"ENSG00000130037.5";-2.61;0.00253532345811646
"ENSG00000130203.10";2.01;0.000240512512237039
"ENSG00000130208.9";2.48;4.31164603646397e-05
"ENSG00000130224.15";-1.83;0.00429061282380085
"ENSG00000130226.17";-3.19;0.00550640823570391
"ENSG00000130294.17";-2.38;0.00222876866947487
"ENSG00000130475.14";1.76;0.000207656831218176
"ENSG00000130513.6";2.53;0.000551908032315602
"ENSG00000130595.19";-1.5;0.0098374346082523
"ENSG00000130643.9";-2.97;0.00263170442596036
"ENSG00000130700.7";-2.15;0.00814334702718145
"ENSG00000130822.16";-3.52;0.00527814867611862
"ENSG00000130957.5";-2.71;0.0038335548168746
"ENSG00000130988.13";-1.62;0.00324031351676352
"ENSG00000131094.4";-2.32;0.000276002138410599
"ENSG00000131386.19";-2.11;0.00153100744293387
"ENSG00000131711.15";-1.97;0.00782483027055834
"ENSG00000131730.16";-3.39;1.92876384474113e-05
"ENSG00000131747.15";2.55;0.00570319624519881
"ENSG00000131771.14";1.77;0.000900116428161751
"ENSG00000132465.12";-3.3;0.00142294817881562
"ENSG00000132749.11";2.37;0.000854842332968601
"ENSG00000132837.15";-1.81;0.00136581765896459
"ENSG00000132840.10";-2.23;0.00248025848636483
"ENSG00000132938.21";-3.18;0.00417234071535774
"ENSG00000133048.13";2.29;0.000824383918088261
"ENSG00000133101.10";-1.99;0.000116168681866008
"ENSG00000133104.14";-1.59;0.000103975499415689
"ENSG00000133216.17";2.47;9.80110467799834e-05
"ENSG00000133392.18";-3.07;0.00523723208047932
"ENSG00000133401.16";-1.62;0.00338551028966696
"ENSG00000133466.14";1.88;9.91615066266615e-06
"ENSG00000133488.15";3.24;0.00504156101584507
"ENSG00000133687.16";-1.88;0.00537748184082634
"ENSG00000133800.9";-3.37;0.000121912493268394
"ENSG00000133878.9";-1.9;0.0011850356556595
"ENSG00000134020.8";-2.86;0.00569747182994547
"ENSG00000134121.10";-1.6;0.000234851506808548
"ENSG00000134201.12";-2.24;0.00171293767184803
"ENSG00000134532.19";-1.6;0.00152351041474636
"ENSG00000134533.6";-2.52;0.00848515635449715
"ENSG00000134548.11";-2.67;0.00169262124783955
"ENSG00000134690.11";1.57;1.60405411481903e-05
"ENSG00000134769.21";-1.86;0.00458983502060416
"ENSG00000134874.18";-1.79;0.0028858719210436
"ENSG00000135077.9";1.52;0.000443634124623019
"ENSG00000135094.11";2.82;1.66772457128919e-05
"ENSG00000135119.15";2.03;8.1930013591567e-05
"ENSG00000135205.15";-1.72;0.00569329692673804
"ENSG00000135218.19";-2.23;0.00930486470132564
"ENSG00000135298.14";-2.91;0.00372096437904936
"ENSG00000135447.17";-4.03;0.00333934334874738
"ENSG00000135451.13";1.94;2.82774617732999e-06
"ENSG00000135638.14";2.9;0.00819750205239053
"ENSG00000135773.13";-2.32;0.00681185707747884
"ENSG00000135842.17";-2.08;0.00438367949947798
"ENSG00000136231.14";2.94;0.000297316830664561
"ENSG00000136274.9";-2.05;0.00396032962381529
"ENSG00000136295.15";1.71;4.36664634779195e-05
"ENSG00000136457.10";-2.53;0.00769873370086928
"ENSG00000136546.16";-3.34;0.00244957871501608
"ENSG00000136826.15";-1.52;4.45342166193047e-05
"ENSG00000136842.14";-2.36;0.00245118867123093
"ENSG00000136982.6";1.77;1.20803043511534e-05
"ENSG00000137094.15";-2.33;0.00769549886226156
"ENSG00000137273.6";-2.09;0.00455604670519429
"ENSG00000137441.8";-1.71;0.000199362015920111
"ENSG00000137573.14";2;0.000250857946328001
"ENSG00000137726.17";-2.28;0.0081862194090836
"ENSG00000137727.12";-1.57;0.00213002464808759
"ENSG00000137807.16";2.03;4.61644400772975e-06
"ENSG00000137869.15";2.3;0.00240891614348191
"ENSG00000137872.17";-1.92;0.00538153647849966
"ENSG00000137941.17";-1.74;0.00386362722082051
"ENSG00000138152.10";2.93;0.00145550419443191
"ENSG00000138166.6";-1.64;0.00731723680226259
"ENSG00000138180.16";2.02;2.72181325225726e-05
"ENSG00000138316.11";2.85;0.00852945002886278
"ENSG00000138346.15";1.64;2.61849953807864e-05
"ENSG00000138356.14";-1.54;0.00678943956129934
"ENSG00000138379.5";-1.58;7.43581608605545e-05
"ENSG00000138435.16";2.5;0.000812233639308327
"ENSG00000138685.17";-2.29;0.00323643802260465
"ENSG00000138722.10";-1.8;7.70025996520675e-05
"ENSG00000138755.6";3.22;0.00412121730903741
"ENSG00000138769.11";-1.94;0.00706432173975607
"ENSG00000138778.13";1.82;9.80110467799834e-05
"ENSG00000139144.11";-1.92;0.000862535039870764
"ENSG00000139200.14";-1.88;0.000768567140268683
"ENSG00000139292.13";2.69;0.00657402983707264
"ENSG00000139572.4";1.89;0.00378163783472107
"ENSG00000139910.20";-1.75;0.00519348824858652
"ENSG00000139988.10";-3.56;8.19750657483101e-05
"ENSG00000140287.11";-1.92;0.00271965776664506
"ENSG00000140416.23";-2.31;0.00601925276895587
"ENSG00000140511.12";2.13;0.00322051718270206
"ENSG00000140525.19";1.65;3.39076424252054e-05
"ENSG00000140534.14";1.61;0.00431419322186595
"ENSG00000140675.13";1.85;0.00150844484335609
"ENSG00000140678.17";1.72;0.000208173964836934
"ENSG00000140835.10";2.2;0.00569329692673804
"ENSG00000140873.16";1.78;5.4077272578681e-05
"ENSG00000141052.18";-2.34;0.00741148580534712
"ENSG00000141338.14";-1.89;5.14238645806935e-05
"ENSG00000141431.12";-1.67;0.000461391528987306
"ENSG00000141622.14";-1.92;0.00522444294693215
"ENSG00000141639.12";-2.88;0.00404291032235196
"ENSG00000141756.19";1.67;0.00220216982356177
"ENSG00000142102.16";1.74;0.00229463831408994
"ENSG00000142185.16";1.71;2.52276628005538e-05
"ENSG00000142945.13";1.94;4.98413135340461e-06
"ENSG00000143028.9";-1.67;0.00966200217517515
"ENSG00000143171.13";-3.48;0.000564076348445572
"ENSG00000143196.5";-3.65;8.59175014618102e-05
"ENSG00000143228.13";2.04;0.000880632999610296
"ENSG00000143248.13";-1.6;0.00393500754457867
"ENSG00000143476.18";1.78;1.20556464649183e-05
"ENSG00000143603.19";-1.75;0.000173397306978815
"ENSG00000143878.10";-1.66;0.00414815931396831
"ENSG00000143995.20";-1.74;0.00251323799860065
"ENSG00000144031.12";-1.7;0.000564076348445572
"ENSG00000144191.12";-2.12;0.00429697704536734
"ENSG00000144218.19";-1.58;0.00059250018567314
"ENSG00000144331.20";-2.83;0.00178506380109582
